"Sector:","Transaction","Information","2014"
"S1313 Local government","D29K Other taxes on production","Current prices",6
"S1313 Local government","D29K Other taxes on production","Ratio to GDP, %",.
"S1313 Local government","D3K Subsidies","Current prices",407
"S1313 Local government","D3K Subsidies","Ratio to GDP, %",.
"S1313 Local government","D4K Property expenditure","Current prices",130
"S1313 Local government","D4K Property expenditure","Ratio to GDP, %",.
"S1313 Local government","D4SK  Property expenditure, consolidated","Current prices",114
"S1313 Local government","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S1313 Local government","D411KJ Actual interest payable to general government","Current prices",16
"S1313 Local government","D411KJ Actual interest payable to general government","Ratio to GDP, %",.
"S1313 Local government","D5K Current taxes on income and wealth, etc., payable","Current prices",3
"S1313 Local government","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S1313 Local government","D62K Social benefits other than social transfers in kind, payable","Current prices",1273
"S1313 Local government","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S1313 Local government","D632K Social transfers in kind - purchased market production","Current prices",2986
"S1313 Local government","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S1313 Local government","D7K Other current transfers, payable","Current prices",1283
"S1313 Local government","D7K Other current transfers, payable","Ratio to GDP, %",.
"S1313 Local government","D7SK Other current transfers, payable (consolidated)","Current prices",401
"S1313 Local government","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S1313 Local government","D9K Capital transfers, payable","Current prices",42
"S1313 Local government","D9K Capital transfers, payable","Ratio to GDP, %",.
"S1313 Local government","D9SK Capital transfers, payable (consolidated)","Current prices",42
"S1313 Local government","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S1313 Local government","P5K Gross capital formation","Current prices",4653
"S1313 Local government","P5K Gross capital formation","Ratio to GDP, %",.
"S1313 Local government","NPK Acquisitions less disposals of non-produced assets","Current prices",17
"S1313 Local government","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S1313 Local government","TOTEXP Total expenditure","Current prices",48944
"S1313 Local government","TOTEXP Total expenditure","Ratio to GDP, %",23.8
"S1313 Local government","TOTEXPS Total expenditure, consolidated","Current prices",.
"S1313 Local government","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S1313 Local government","B9T Net lending (+) / net borrowing (-)","Current prices",-1573
"S1313 Local government","B9T Net lending (+) / net borrowing (-)","Ratio to GDP, %",-0.8
"S13141 Employment pension schemes","P11R Market output","Current prices",944
"S13141 Employment pension schemes","P11R Market output","Ratio to GDP, %",.
"S13141 Employment pension schemes","P12R Output for own final use","Current prices",17
"S13141 Employment pension schemes","P12R Output for own final use","Ratio to GDP, %",.
"S13141 Employment pension schemes","P131R Sales of non-market products","Current prices",.
"S13141 Employment pension schemes","P131R Sales of non-market products","Ratio to GDP, %",.
"S13141 Employment pension schemes","D2R Taxes on production and imports, receivable","Current prices",.
"S13141 Employment pension schemes","D2R Taxes on production and imports, receivable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D4R Property income","Current prices",3452
"S13141 Employment pension schemes","D4R Property income","Ratio to GDP, %",.
"S13141 Employment pension schemes","D4SR Property income (consolidated)","Current prices",3373
"S13141 Employment pension schemes","D4SR Property income (consolidated)","Ratio to GDP, %",.
"S13141 Employment pension schemes","D411RJ Actual interest receivable from general government","Current prices",79
"S13141 Employment pension schemes","D411RJ Actual interest receivable from general government","Ratio to GDP, %",.
"S13141 Employment pension schemes","D5R Current taxes on income and wealth, etc., receivable","Current prices",.
"S13141 Employment pension schemes","D5R Current taxes on income and wealth, etc., receivable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D61R Social contributions, receivable","Current prices",20390
"S13141 Employment pension schemes","D61R Social contributions, receivable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D7R Other current transfers, receivable","Current prices",2021
"S13141 Employment pension schemes","D7R Other current transfers, receivable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D7SR Other current transfers, receivable (consolidated)","Current prices",0
"S13141 Employment pension schemes","D7SR Other current transfers, receivable (consolidated)","Ratio to GDP, %",.
"S13141 Employment pension schemes","D9R Capital transfers, receivable","Current prices",17
"S13141 Employment pension schemes","D9R Capital transfers, receivable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D9SR Capital transfers, receivable (consolidated)","Current prices",0
"S13141 Employment pension schemes","D9SR Capital transfers, receivable (consolidated)","Ratio to GDP, %",.
"S13141 Employment pension schemes","TOTREV Total revenue","Current prices",26841
"S13141 Employment pension schemes","TOTREV Total revenue","Ratio to GDP, %",13.1
"S13141 Employment pension schemes","TOTREVS Total revenue, consolidated","Current prices",.
"S13141 Employment pension schemes","TOTREVS Total revenue, consolidated","Ratio to GDP, %",.
"S13141 Employment pension schemes","P2K Intermediate consumption","Current prices",962
"S13141 Employment pension schemes","P2K Intermediate consumption","Ratio to GDP, %",.
"S13141 Employment pension schemes","D1K Compensation of employees","Current prices",250
"S13141 Employment pension schemes","D1K Compensation of employees","Ratio to GDP, %",.
"S13141 Employment pension schemes","D29K Other taxes on production","Current prices",.
"S13141 Employment pension schemes","D29K Other taxes on production","Ratio to GDP, %",.
"S13141 Employment pension schemes","D3K Subsidies","Current prices",.
"S13141 Employment pension schemes","D3K Subsidies","Ratio to GDP, %",.
"S13141 Employment pension schemes","D4K Property expenditure","Current prices",40
"S13141 Employment pension schemes","D4K Property expenditure","Ratio to GDP, %",.
"S13141 Employment pension schemes","D4SK  Property expenditure, consolidated","Current prices",40
"S13141 Employment pension schemes","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13141 Employment pension schemes","D411KJ Actual interest payable to general government","Current prices",.
"S13141 Employment pension schemes","D411KJ Actual interest payable to general government","Ratio to GDP, %",.
"S13141 Employment pension schemes","D5K Current taxes on income and wealth, etc., payable","Current prices",18
"S13141 Employment pension schemes","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D62K Social benefits other than social transfers in kind, payable","Current prices",20400
"S13141 Employment pension schemes","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D632K Social transfers in kind - purchased market production","Current prices",.
"S13141 Employment pension schemes","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13141 Employment pension schemes","D7K Other current transfers, payable","Current prices",1877
"S13141 Employment pension schemes","D7K Other current transfers, payable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D7SK Other current transfers, payable (consolidated)","Current prices",0
"S13141 Employment pension schemes","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S13141 Employment pension schemes","D9K Capital transfers, payable","Current prices",1
"S13141 Employment pension schemes","D9K Capital transfers, payable","Ratio to GDP, %",.
"S13141 Employment pension schemes","D9SK Capital transfers, payable (consolidated)","Current prices",1
"S13141 Employment pension schemes","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S13141 Employment pension schemes","P5K Gross capital formation","Current prices",-99
"S13141 Employment pension schemes","P5K Gross capital formation","Ratio to GDP, %",.
"S13141 Employment pension schemes","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13141 Employment pension schemes","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13141 Employment pension schemes","TOTEXP Total expenditure","Current prices",23449
"S13141 Employment pension schemes","TOTEXP Total expenditure","Ratio to GDP, %",11.4
"S13141 Employment pension schemes","TOTEXPS Total expenditure, consolidated","Current prices",.
"S13141 Employment pension schemes","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S13141 Employment pension schemes","B9T Net lending (+) / net borrowing (-)","Current prices",3392
"S13141 Employment pension schemes","B9T Net lending (+) / net borrowing (-)","Ratio to GDP, %",1.7
"S13149 Other social security funds","P11R Market output","Current prices",9
"S13149 Other social security funds","P11R Market output","Ratio to GDP, %",.
"S13149 Other social security funds","P12R Output for own final use","Current prices",15
"S13149 Other social security funds","P12R Output for own final use","Ratio to GDP, %",.
"S13149 Other social security funds","P131R Sales of non-market products","Current prices",6
"S13149 Other social security funds","P131R Sales of non-market products","Ratio to GDP, %",.
"S13149 Other social security funds","D2R Taxes on production and imports, receivable","Current prices",.
"S13149 Other social security funds","D2R Taxes on production and imports, receivable","Ratio to GDP, %",.
"S13149 Other social security funds","D4R Property income","Current prices",28
"S13149 Other social security funds","D4R Property income","Ratio to GDP, %",.
"S13149 Other social security funds","D4SR Property income (consolidated)","Current prices",27
"S13149 Other social security funds","D4SR Property income (consolidated)","Ratio to GDP, %",.
"S13149 Other social security funds","D411RJ Actual interest receivable from general government","Current prices",1
"S13149 Other social security funds","D411RJ Actual interest receivable from general government","Ratio to GDP, %",.
"S13149 Other social security funds","D5R Current taxes on income and wealth, etc., receivable","Current prices",.
"S13149 Other social security funds","D5R Current taxes on income and wealth, etc., receivable","Ratio to GDP, %",.
"S13149 Other social security funds","D61R Social contributions, receivable","Current prices",5883
"S13149 Other social security funds","D61R Social contributions, receivable","Ratio to GDP, %",.
"S13149 Other social security funds","D7R Other current transfers, receivable","Current prices",11921
"S13149 Other social security funds","D7R Other current transfers, receivable","Ratio to GDP, %",.
"S13149 Other social security funds","D7SR Other current transfers, receivable (consolidated)","Current prices",4
"S13149 Other social security funds","D7SR Other current transfers, receivable (consolidated)","Ratio to GDP, %",.
"S13149 Other social security funds","D9R Capital transfers, receivable","Current prices",.
"S13149 Other social security funds","D9R Capital transfers, receivable","Ratio to GDP, %",.
"S13149 Other social security funds","D9SR Capital transfers, receivable (consolidated)","Current prices",.
"S13149 Other social security funds","D9SR Capital transfers, receivable (consolidated)","Ratio to GDP, %",.
"S13149 Other social security funds","TOTREV Total revenue","Current prices",17862
"S13149 Other social security funds","TOTREV Total revenue","Ratio to GDP, %",8.7
"S13149 Other social security funds","TOTREVS Total revenue, consolidated","Current prices",.
"S13149 Other social security funds","TOTREVS Total revenue, consolidated","Ratio to GDP, %",.
"S13149 Other social security funds","P2K Intermediate consumption","Current prices",206
"S13149 Other social security funds","P2K Intermediate consumption","Ratio to GDP, %",.
"S13149 Other social security funds","D1K Compensation of employees","Current prices",327
"S13149 Other social security funds","D1K Compensation of employees","Ratio to GDP, %",.
"S13149 Other social security funds","D29K Other taxes on production","Current prices",.
"S13149 Other social security funds","D29K Other taxes on production","Ratio to GDP, %",.
"S13149 Other social security funds","D3K Subsidies","Current prices",.
"S13149 Other social security funds","D3K Subsidies","Ratio to GDP, %",.
"S13149 Other social security funds","D4K Property expenditure","Current prices",5
"S13149 Other social security funds","D4K Property expenditure","Ratio to GDP, %",.
"S13149 Other social security funds","D4SK  Property expenditure, consolidated","Current prices",5
"S13149 Other social security funds","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13149 Other social security funds","D411KJ Actual interest payable to general government","Current prices",.
"S13149 Other social security funds","D411KJ Actual interest payable to general government","Ratio to GDP, %",.
"S13149 Other social security funds","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S13149 Other social security funds","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13149 Other social security funds","D62K Social benefits other than social transfers in kind, payable","Current prices",14346
"S13149 Other social security funds","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13149 Other social security funds","D632K Social transfers in kind - purchased market production","Current prices",2291
"S13149 Other social security funds","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13149 Other social security funds","D7K Other current transfers, payable","Current prices",1310
"S13149 Other social security funds","D7K Other current transfers, payable","Ratio to GDP, %",.
"S13149 Other social security funds","D7SK Other current transfers, payable (consolidated)","Current prices",314
"S13149 Other social security funds","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S13149 Other social security funds","D9K Capital transfers, payable","Current prices",16
"S13149 Other social security funds","D9K Capital transfers, payable","Ratio to GDP, %",.
"S13149 Other social security funds","D9SK Capital transfers, payable (consolidated)","Current prices",0
"S13149 Other social security funds","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S13149 Other social security funds","P5K Gross capital formation","Current prices",16
"S13149 Other social security funds","P5K Gross capital formation","Ratio to GDP, %",.
"S13149 Other social security funds","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13149 Other social security funds","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13149 Other social security funds","TOTEXP Total expenditure","Current prices",18517
"S13149 Other social security funds","TOTEXP Total expenditure","Ratio to GDP, %",9.0
"S13149 Other social security funds","TOTEXPS Total expenditure, consolidated","Current prices",.
"S13149 Other social security funds","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S13149 Other social security funds","B9T Net lending (+) / net borrowing (-)","Current prices",-655
"S13149 Other social security funds","B9T Net lending (+) / net borrowing (-)","Ratio to GDP, %",-0.3
