"Sector","Tax category","1975 Current prices, millions of euro","1976 Current prices, millions of euro","1977 Current prices, millions of euro","1978 Current prices, millions of euro","1979 Current prices, millions of euro","1980 Current prices, millions of euro","1981 Current prices, millions of euro","1982 Current prices, millions of euro","1983 Current prices, millions of euro","1984 Current prices, millions of euro","1985 Current prices, millions of euro","1986 Current prices, millions of euro","1987 Current prices, millions of euro","1988 Current prices, millions of euro","1989 Current prices, millions of euro","1990 Current prices, millions of euro","1991 Current prices, millions of euro","1992 Current prices, millions of euro","1993 Current prices, millions of euro","1994 Current prices, millions of euro","1995 Current prices, millions of euro","1996 Current prices, millions of euro","1997 Current prices, millions of euro","1998 Current prices, millions of euro","1999 Current prices, millions of euro","2000 Current prices, millions of euro","2001 Current prices, millions of euro","2002 Current prices, millions of euro","2003 Current prices, millions of euro","2004 Current prices, millions of euro","2005 Current prices, millions of euro","2006 Current prices, millions of euro","2007 Current prices, millions of euro","2008 Current prices, millions of euro","2009 Current prices, millions of euro","2010 Current prices, millions of euro","2011 Current prices, millions of euro","2012 Current prices, millions of euro","2013 Current prices, millions of euro","2014 Current prices, millions of euro","2015 Current prices, millions of euro","2016 Current prices, millions of euro","2017 Current prices, millions of euro","2018 Current prices, millions of euro"
"S13 General government","210002 Employees social security contributions",319,364,391,325,390,452,518,554,603,837,1039,1040,1100,1202,1220,1468,1355,2368,2045,2826,2356,2063,1890,1679,1686,1489,1421,1259,1102,1124,1300,1858,1902,1808,1813,2289,2102,2250,2322,2341,2424,2847,2981,3210
"S13 General government","2200 Employers social security contributions",990,1222,1454,1448,1785,2230,2557,2687,2848,3188,3787,4228,4550,5811,6699,8127,8918,8317,8386,8805,9472,9547,9808,10748,11338,11571,12503,12804,12904,13407,14127,14829,15715,16682,16261,16041,16937,17674,17888,17885,18232,18763,17585,17631
"S13 General government","220001 Employers employment pension contributions",415,561,746,677,898,1195,1413,1399,1438,1568,1894,2146,2418,3498,4184,5622,6520,5655,5054,5364,5947,6314,6659,7310,7856,8018,8943,9543,9694,10092,10555,11167,11891,12851,12910,13068,13730,14274,14494,14603,14887,14935,14849,15384
"S13 General government","220002 Employers social security contributions",575,661,708,771,887,1035,1144,1288,1410,1620,1893,2082,2132,2313,2515,2505,2398,2662,3332,3441,3525,3233,3149,3438,3482,3553,3560,3261,3210,3315,3572,3662,3824,3831,3351,2973,3207,3400,3394,3282,3345,3828,2736,2247
"S13 General government","3000 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","300001 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","4000 Taxes on property",126,242,195,197,210,221,273,341,410,520,622,714,758,1056,1151,956,872,817,1002,1013,974,1051,1158,1290,1337,1518,1450,1541,1508,1702,1894,1839,2012,2048,1903,2087,2138,2361,2599,2719,3017,3066,3459,3349
"S13 General government","4100 Recurrent taxes on immovable property",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S13 General government","410001 Tax on real-estate",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S13 General government","4200 Recurrent taxes on net wealth",32,124,54,43,40,24,28,33,40,44,48,24,24,33,25,27,21,26,40,47,35,47,52,58,86,179,127,113,99,117,129,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","4210 Recurrent taxes on net wealth of individuals",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","421001 Wealth tax, individual",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","4220 Recurrent taxes on net wealth of corporations",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","422001 Wealth tax, corporation",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","4300 Inheritance and gift tax",14,17,22,24,23,27,29,36,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S13 General government","430001 Inheritance and gift tax",14,17,22,24,23,27,29,36,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S13 General government","4400 Taxes on financial and capital transactions",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,707,601,529,431,356,331,351,423,488,408,401,333,342,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S13 General government","440001 Transfer tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,463,411,421,331,340,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S13 General government","440002 Stamp duties",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,688,579,508,398,356,331,351,126,25,-3,-20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","440003 Credit tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5000 Taxes on goods and services",2102,2409,2850,3215,3673,4203,4851,5418,6021,7062,7726,8453,9293,11168,12323,12711,12286,11823,11771,12649,13248,13803,15584,16517,17411,18082,18477,19462,20567,21093,21776,22761,23424,24097,23418,24255,27239,28185,29429,29571,29652,31110,31764,33250
"S13 General government","5100 Taxes on production, sale, transfer, leasing and delivery of goods and rendering of services",2083,2369,2819,3177,3634,4159,4795,5358,5947,6972,7630,8347,9175,11063,12186,12555,12124,11668,11605,12381,12938,13439,15198,16106,16979,17642,17997,18962,20040,20397,21186,22134,22757,23396,22704,23497,26413,27361,28500,28529,28600,29877,30466,31889
"S13 General government","5111 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S13 General government","511101 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S13 General government","5113 Turnover and other general taxes on goods and services",71,75,91,109,127,158,174,190,226,263,278,304,315,366,408,442,416,360,368,385,414,329,342,367,388,417,447,485,519,559,593,621,644,674,696,728,798,870,929,968,999,1016,996,998
"S13 General government","511301 Tax on lottery prizes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,57,63,67,74,76,80,92,111,123,131,129,134,135,138,139,144,172,210,217,218,222,231,228,226
"S13 General government","511302 Tax on insurance premiums",26,30,43,49,48,58,69,79,96,119,137,151,177,204,228,263,290,282,275,261,261,266,275,293,312,337,355,374,396,428,464,487,509,536,557,584,626,660,712,750,777,785,768,772
"S13 General government","511303 Equalization tax",45,45,48,60,79,100,105,111,130,144,141,153,138,162,180,179,126,78,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","511304 Telecommunication tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5120 Taxes on specific goods and services",982,1173,1335,1462,1716,1939,2196,2498,2727,2987,3179,3397,3332,4190,4417,4594,4537,4729,4734,4988,4903,5114,5713,6039,6454,6356,6432,6746,7034,6828,6845,6976,6906,7064,6832,7236,8300,8504,8683,8613,8627,9167,9066,9527
"S13 General government","5121 Excises",759,945,1103,1209,1430,1616,1835,2095,2301,2536,2737,2927,2783,3477,3604,3813,3691,3808,3888,4171,4353,4535,5080,5362,5726,5613,5672,5974,6202,5977,5965,6097,6013,6150,5888,6286,7319,7514,7511,7431,7678,8195,8002,8390
"S13 General government","512101 Excise duty on alcoholic beverages",206,231,236,261,315,353,392,451,497,533,540,604,651,753,773,813,768,704,653,930,1196,1183,1210,1211,1258,1239,1295,1348,1363,1030,967,994,1016,1114,1223,1279,1291,1374,1355,1381,1356,1344,1340,1475
"S13 General government","512102 Excise duty on energy products",205,271,329,400,431,506,540,620,621,682,750,729,538,765,770,986,1097,1223,1406,1731,2010,2071,2435,2507,2660,2583,2674,2801,2832,2904,2874,2932,2907,3162,3052,3167,3875,3956,3925,3846,4054,4407,4324,4395
"S13 General government","512103 Excise duty on motor cars",128,151,161,163,227,238,279,338,407,450,482,581,643,836,916,697,400,334,271,345,452,607,708,885,1029,1059,922,1023,1207,1235,1277,1304,1217,1016,687,941,1068,1006,931,916,882,959,972,995
"S13 General government","512104 Excise duties on soft drinks (incl tax on sweets and ice cream 2011-2016)",10,11,14,15,17,17,21,26,14,9,13,15,16,20,21,22,21,21,19,23,28,28,30,30,33,32,33,35,37,39,35,35,35,35,35,37,134,197,204,257,250,255,151,154
"S13 General government","512105 Excise duty on tobacco",109,144,151,162,178,206,221,265,284,293,306,326,357,478,448,473,492,550,532,514,532,506,540,564,580,561,599,604,593,598,613,619,622,627,693,655,718,749,852,788,885,983,962,1115
"S13 General government","512106 Excise on certain beverage packages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,41,15,12,13,15,15,15,14,15,15,16,15
"S13 General government","512107 Oil damage levy",0,0,0,0,0,0,0,0,0,2,3,5,5,5,5,7,7,6,6,5,6,5,6,6,6,5,5,6,9,10,8,8,8,8,8,20,24,24,27,25,24,10,8,12
"S13 General government","512108 Oil waste levy",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4
"S13 General government","512109 Pharmacy levy",9,11,13,13,14,16,18,17,19,23,26,28,30,35,40,46,49,58,58,59,60,66,72,76,79,85,93,103,108,110,117,121,113,120,129,122,144,145,153,158,165,174,182,180
"S13 General government","512110 Stock-building levies on liquid fuels",21,32,20,4,4,15,27,42,39,39,41,43,44,43,44,44,42,41,40,42,40,40,48,50,49,46,48,50,50,48,49,50,50,49,45,48,46,44,45,43,43,44,43,45
"S13 General government","512111 Excise duty on certain food products",33,50,67,110,203,218,262,347,40,16,20,24,27,29,34,36,40,38,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512112 Marketing levy on agricultural products (plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512113 Excise duty on fertilizers (phosphorus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512114 Price difference compensations",-31,-66,-84,-124,-217,-231,-276,-375,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512115 Excise duty on fertilizers",0,4,11,21,20,21,21,13,16,22,31,44,24,7,11,21,49,82,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512116 Marketing levy on agricultural products",0,0,13,2,10,12,17,7,28,38,26,26,6,3,2,58,109,141,91,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512117 Equalization fee on agricultural products",0,3,8,8,9,8,8,9,22,23,24,23,24,24,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512118 Levies for price reduction on butter",1,1,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512119 Excise on oil based concentrated feed",0,0,0,1,0,1,2,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512120 Milk quota levy",0,0,0,0,0,0,0,0,0,0,1,4,5,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512121 Excise duty on confectionery",8,14,19,20,22,23,27,29,19,18,18,19,23,25,26,26,26,23,25,25,26,26,28,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512122 Excise duty on beer",56,64,69,84,104,109,141,156,175,190,216,244,270,330,383,419,435,429,401,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512123 Excise duty on albumen",0,0,0,0,0,0,0,0,0,0,0,33,32,35,18,30,41,46,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512124 Excise duty on margarine",4,5,5,17,16,18,27,31,29,22,28,41,42,47,51,55,45,54,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512125 Excise on feeding stuffs",0,2,7,1,0,0,3,0,13,23,29,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512126 Excise duty on sugar",0,4,7,11,15,18,18,19,30,19,13,26,31,33,32,34,46,45,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512127 Excise duty on electricity",0,13,54,37,59,65,85,95,82,131,168,91,0,0,0,0,0,0,110,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5122 Profits of fiscal monopolies",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512201 Excess profits from spirits monopoly",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5123 Customs and import duties",132,114,125,108,116,135,159,173,167,148,135,147,170,248,251,244,217,204,206,246,45,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512301 Local import duties (town dues)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512302 Levies on agricultural goods",33,39,43,13,4,6,3,19,23,3,4,3,3,23,22,12,10,12,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512303 Customs duties",74,65,66,85,102,126,129,142,136,145,131,144,167,225,229,232,207,192,194,203,45,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512304 Import levies to Price Stabilisation Fund",24,9,15,10,10,3,27,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5126 Taxes on specific services",47,55,62,74,89,102,111,121,149,186,193,199,238,267,320,335,390,429,431,444,505,568,632,677,728,743,760,772,832,851,880,879,893,914,944,950,981,990,1172,1182,949,972,1064,1137
"S13 General government","512601 Tax on waste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,31,34,33,31,32,41,42,53,55,56,52,45,42,64,56,56,44,32,21,12,7
"S13 General government","512602 Tax on fire insurance",0,0,0,0,3,3,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,11,11,11,11,11
"S13 General government","512603 Nuclear energy research levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,7,7,7,5,8,7,11,12,12
"S13 General government","512604 Bank tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,138,-74,-43,-36,-4
"S13 General government","512605 Rail tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,15,18,18,21,17,18,18,16,19,18,6,6,5,2
"S13 General government","512606 EU Contributions to the Single Resolution Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512607 Central government's share of Oy Veikkaus Ab's profit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1109
"S13 General government","512608 Tax on motion pictures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512609 Central governments share of Oy Veikkaus Ab's and money-lotteries' profit",31,37,41,52,59,67,74,85,106,132,140,137,163,166,192,193,222,241,243,251,275,290,323,348,366,379,377,356,370,376,385,397,398,408,461,493,516,520,535,541,541,539,0,0
"S13 General government","512610 Revenue from RAY (The Finnish Slot Machine Association)",10,11,13,14,18,22,27,29,35,45,43,51,63,87,113,127,155,181,181,186,223,265,282,292,322,325,346,377,401,406,415,397,409,421,407,381,367,381,413,422,426,427,0,0
"S13 General government","512611 Stamp duty on entertainment",4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512612 Central governments share of the revenue on betting in horse races",2,2,3,3,4,5,7,3,4,4,5,6,7,8,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5127 Other taxes on international trade and transactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512701 Tax on charter flights",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5128 Other taxes on specific goods and services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512801 Sugar levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","512802 ECSC fee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5200 Taxes on use of goods, or on permission to use goods or perform activities",19,40,31,38,39,44,56,60,74,90,96,106,118,105,137,156,162,155,166,268,310,364,386,411,432,440,480,500,527,696,590,627,667,701,714,758,826,824,929,1042,1052,1233,1298,1361
"S13 General government","5210 Recurrent taxes",19,40,31,38,39,44,56,60,74,90,96,106,118,105,137,156,162,155,166,268,310,364,374,397,417,423,460,476,498,667,561,593,633,665,681,718,785,784,892,902,953,1107,1192,1221
"S13 General government","521001 User charge on passenger vehicles",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,176,187,190,201,209,220,227,233,243,642,537,568,612,637,655,691,759,758,866,877,930,1083,1169,1194
"S13 General government","521002 Tax on motor vehicles",15,17,25,31,31,35,46,50,62,76,83,93,105,90,121,140,145,137,148,142,112,156,164,175,186,180,209,218,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","5213 Other recurrent taxes",4,4,6,7,8,9,10,10,12,14,13,13,13,15,16,16,17,18,18,22,22,21,20,21,22,23,24,25,25,25,24,25,21,28,26,27,26,26,26,25,23,24,23,27
"S13 General government","521301 Hunting and fishing licenses (elk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,2,3,4,5,6,6,5,5,6,2,6,5,6,6,5,4,4,4,4,4,5
"S13 General government","521302 Hunting and fishing licenses (fishing fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,7,7,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,8,9,8,9
"S13 General government","521303 Hunting and fishing licenses (game management fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,9,9,9,9,9,10,10,10,10,10,12
"S13 General government","521304 Hunting and fishing licenses (Tana river)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S13 General government","521305 Seamens welfare and rescue levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
