"Sector","Function","Transaction","Data","2015"
"S13 General government","G0  All functions","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.4
"S13 General government","G0  All functions","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",169
"S13 General government","G0  All functions","P5K Gross capital formation","Current prices",8157
"S13 General government","G0  All functions","P5K Gross capital formation","Ratio to GDP, %",3.9
"S13 General government","G0  All functions","P5K Gross capital formation","Per capita, EUR",1489
"S13 General government","G0  All functions","P51K Gross fixed capital formation","Current prices",8151
"S13 General government","G0  All functions","P51K Gross fixed capital formation","Ratio to GDP, %",3.9
"S13 General government","G0  All functions","P51K Gross fixed capital formation","Per capita, EUR",1488
"S13 General government","G0  All functions","NPK Acquisitions less disposals of non-produced assets","Current prices",-163
"S13 General government","G0  All functions","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",-0.1
"S13 General government","G0  All functions","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",-30
"S13 General government","G0  All functions","P3K Final consumption expenditure","Current prices",51141
"S13 General government","G0  All functions","P3K Final consumption expenditure","Ratio to GDP, %",24.4
"S13 General government","G0  All functions","P3K Final consumption expenditure","Per capita, EUR",9333
"S13 General government","G0  All functions","NETEXP Net expenditure","Current prices",136064
"S13 General government","G0  All functions","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0  All functions","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0  All functions","NETEXPS Net expenditure, consolidated","Current prices",105097
"S13 General government","G0  All functions","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",50.1
"S13 General government","G0  All functions","NETEXPS Net expenditure, consolidated","Per capita, EUR",19180
"S13 General government","G0  All functions","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0  All functions","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0  All functions","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0  All functions","TOTEXPS Total expenditure, consolidated","Current prices",119759
"S13 General government","G0  All functions","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",57.1
"S13 General government","G0  All functions","TOTEXPS Total expenditure, consolidated","Per capita, EUR",21856
"S13 General government","G01  General public services","D1K Compensation of employees","Current prices",4293
"S13 General government","G01  General public services","D1K Compensation of employees","Ratio to GDP, %",2.0
"S13 General government","G01  General public services","D1K Compensation of employees","Per capita, EUR",784
"S13 General government","G01  General public services","D11K Wages and salaries","Current prices",3361
"S13 General government","G01  General public services","D11K Wages and salaries","Ratio to GDP, %",1.6
"S13 General government","G01  General public services","D11K Wages and salaries","Per capita, EUR",613
"S13 General government","G01  General public services","D12K Employers' social contributions","Current prices",932
"S13 General government","G01  General public services","D12K Employers' social contributions","Ratio to GDP, %",0.4
"S13 General government","G01  General public services","D12K Employers' social contributions","Per capita, EUR",170
"S13 General government","G01  General public services","P2K Intermediate consumption","Current prices",6271
"S13 General government","G01  General public services","P2K Intermediate consumption","Ratio to GDP, %",3.0
"S13 General government","G01  General public services","P2K Intermediate consumption","Per capita, EUR",1144
"S13 General government","G01  General public services","D29K Other taxes on production","Current prices",4
"S13 General government","G01  General public services","D29K Other taxes on production","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","D29K Other taxes on production","Per capita, EUR",1
"S13 General government","G01  General public services","D3K Subsidies","Current prices",10
"S13 General government","G01  General public services","D3K Subsidies","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","D3K Subsidies","Per capita, EUR",2
"S13 General government","G01  General public services","D4K Property expenditure","Current prices",2513
"S13 General government","G01  General public services","D4K Property expenditure","Ratio to GDP, %",1.2
"S13 General government","G01  General public services","D4K Property expenditure","Per capita, EUR",459
"S13 General government","G01  General public services","D4SK  Property expenditure, consolidated","Current prices",2460
"S13 General government","G01  General public services","D4SK  Property expenditure, consolidated","Ratio to GDP, %",1.2
"S13 General government","G01  General public services","D4SK  Property expenditure, consolidated","Per capita, EUR",449
"S13 General government","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Current prices",62
"S13 General government","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",11
"S13 General government","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G01  General public services","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G01  General public services","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G01  General public services","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G01  General public services","D7K Other current transfers, payable","Current prices",6908
"S13 General government","G01  General public services","D7K Other current transfers, payable","Ratio to GDP, %",3.3
"S13 General government","G01  General public services","D7K Other current transfers, payable","Per capita, EUR",1261
"S13 General government","G01  General public services","D7SK Other current transfers, payable (consolidated)","Current prices",2847
"S13 General government","G01  General public services","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",1.4
"S13 General government","G01  General public services","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",520
"S13 General government","G01  General public services","D9K Capital transfers, payable","Current prices",87
"S13 General government","G01  General public services","D9K Capital transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","D9K Capital transfers, payable","Per capita, EUR",16
"S13 General government","G01  General public services","D9SK Capital transfers, payable (consolidated)","Current prices",64
"S13 General government","G01  General public services","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",12
"S13 General government","G01  General public services","P5K Gross capital formation","Current prices",1823
"S13 General government","G01  General public services","P5K Gross capital formation","Ratio to GDP, %",0.9
"S13 General government","G01  General public services","P5K Gross capital formation","Per capita, EUR",333
"S13 General government","G01  General public services","P51K Gross fixed capital formation","Current prices",1823
"S13 General government","G01  General public services","P51K Gross fixed capital formation","Ratio to GDP, %",0.9
"S13 General government","G01  General public services","P51K Gross fixed capital formation","Per capita, EUR",333
"S13 General government","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Current prices",-10
"S13 General government","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",0.0
"S13 General government","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",-2
"S13 General government","G01  General public services","P3K Final consumption expenditure","Current prices",6497
"S13 General government","G01  General public services","P3K Final consumption expenditure","Ratio to GDP, %",3.1
"S13 General government","G01  General public services","P3K Final consumption expenditure","Per capita, EUR",1186
"S13 General government","G01  General public services","NETEXP Net expenditure","Current prices",16199
"S13 General government","G01  General public services","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G01  General public services","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G01  General public services","NETEXPS Net expenditure, consolidated","Current prices",12062
"S13 General government","G01  General public services","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",5.8
"S13 General government","G01  General public services","NETEXPS Net expenditure, consolidated","Per capita, EUR",2201
"S13 General government","G01  General public services","TOTEXP Total expenditure","Current prices",.
"S13 General government","G01  General public services","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G01  General public services","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G01  General public services","TOTEXPS Total expenditure, consolidated","Current prices",17824
"S13 General government","G01  General public services","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",8.5
"S13 General government","G01  General public services","TOTEXPS Total expenditure, consolidated","Per capita, EUR",3253
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Current prices",715
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Ratio to GDP, %",0.3
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Per capita, EUR",131
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Current prices",595
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Ratio to GDP, %",0.3
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Per capita, EUR",109
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Current prices",120
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Ratio to GDP, %",0.1
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Per capita, EUR",22
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Current prices",533
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Ratio to GDP, %",0.3
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Per capita, EUR",97
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Current prices",9
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",0.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",2
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Current prices",2017
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Ratio to GDP, %",1.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Per capita, EUR",368
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Current prices",1879
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",0.9
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",343
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Current prices",46
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Per capita, EUR",8
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Current prices",46
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",8
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Current prices",17
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Ratio to GDP, %",0.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Per capita, EUR",3
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Current prices",17
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Ratio to GDP, %",0.0
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Per capita, EUR",3
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Current prices",1159
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Ratio to GDP, %",0.6
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Per capita, EUR",212
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Current prices",3164
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Current prices",3026
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",1.4
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Per capita, EUR",552
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Current prices",3199
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",1.5
"S13 General government","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Per capita, EUR",584
"S13 General government","G0102  Foreign economic aid","D1K Compensation of employees","Current prices",.
"S13 General government","G0102  Foreign economic aid","D1K Compensation of employees","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D1K Compensation of employees","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D11K Wages and salaries","Current prices",.
"S13 General government","G0102  Foreign economic aid","D11K Wages and salaries","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D11K Wages and salaries","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D12K Employers' social contributions","Current prices",.
"S13 General government","G0102  Foreign economic aid","D12K Employers' social contributions","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D12K Employers' social contributions","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","P2K Intermediate consumption","Current prices",31
"S13 General government","G0102  Foreign economic aid","P2K Intermediate consumption","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","P2K Intermediate consumption","Per capita, EUR",6
"S13 General government","G0102  Foreign economic aid","D29K Other taxes on production","Current prices",.
"S13 General government","G0102  Foreign economic aid","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D3K Subsidies","Current prices",.
"S13 General government","G0102  Foreign economic aid","D3K Subsidies","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D3K Subsidies","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D4K Property expenditure","Current prices",.
"S13 General government","G0102  Foreign economic aid","D4K Property expenditure","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D4K Property expenditure","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Current prices",.
"S13 General government","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S13 General government","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","D7K Other current transfers, payable","Current prices",893
"S13 General government","G0102  Foreign economic aid","D7K Other current transfers, payable","Ratio to GDP, %",0.4
"S13 General government","G0102  Foreign economic aid","D7K Other current transfers, payable","Per capita, EUR",163
"S13 General government","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Current prices",893
"S13 General government","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",0.4
"S13 General government","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",163
"S13 General government","G0102  Foreign economic aid","D9K Capital transfers, payable","Current prices",18
"S13 General government","G0102  Foreign economic aid","D9K Capital transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","D9K Capital transfers, payable","Per capita, EUR",3
"S13 General government","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Current prices",18
"S13 General government","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",3
"S13 General government","G0102  Foreign economic aid","P5K Gross capital formation","Current prices",1
"S13 General government","G0102  Foreign economic aid","P5K Gross capital formation","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","P5K Gross capital formation","Per capita, EUR",0
"S13 General government","G0102  Foreign economic aid","P51K Gross fixed capital formation","Current prices",1
"S13 General government","G0102  Foreign economic aid","P51K Gross fixed capital formation","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","P51K Gross fixed capital formation","Per capita, EUR",0
"S13 General government","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13 General government","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","P3K Final consumption expenditure","Current prices",31
"S13 General government","G0102  Foreign economic aid","P3K Final consumption expenditure","Ratio to GDP, %",0.0
"S13 General government","G0102  Foreign economic aid","P3K Final consumption expenditure","Per capita, EUR",6
"S13 General government","G0102  Foreign economic aid","NETEXP Net expenditure","Current prices",943
"S13 General government","G0102  Foreign economic aid","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Current prices",943
"S13 General government","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",0.4
"S13 General government","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Per capita, EUR",172
"S13 General government","G0102  Foreign economic aid","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0102  Foreign economic aid","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0102  Foreign economic aid","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Current prices",943
"S13 General government","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.4
"S13 General government","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Per capita, EUR",172
"S13 General government","G0103  General services","D1K Compensation of employees","Current prices",2915
"S13 General government","G0103  General services","D1K Compensation of employees","Ratio to GDP, %",1.4
"S13 General government","G0103  General services","D1K Compensation of employees","Per capita, EUR",532
"S13 General government","G0103  General services","D11K Wages and salaries","Current prices",2229
"S13 General government","G0103  General services","D11K Wages and salaries","Ratio to GDP, %",1.1
"S13 General government","G0103  General services","D11K Wages and salaries","Per capita, EUR",407
"S13 General government","G0103  General services","D12K Employers' social contributions","Current prices",686
"S13 General government","G0103  General services","D12K Employers' social contributions","Ratio to GDP, %",0.3
"S13 General government","G0103  General services","D12K Employers' social contributions","Per capita, EUR",125
"S13 General government","G0103  General services","P2K Intermediate consumption","Current prices",5166
"S13 General government","G0103  General services","P2K Intermediate consumption","Ratio to GDP, %",2.5
"S13 General government","G0103  General services","P2K Intermediate consumption","Per capita, EUR",943
"S13 General government","G0103  General services","D29K Other taxes on production","Current prices",4
"S13 General government","G0103  General services","D29K Other taxes on production","Ratio to GDP, %",0.0
"S13 General government","G0103  General services","D29K Other taxes on production","Per capita, EUR",1
"S13 General government","G0103  General services","D3K Subsidies","Current prices",.
"S13 General government","G0103  General services","D3K Subsidies","Ratio to GDP, %",.
"S13 General government","G0103  General services","D3K Subsidies","Per capita, EUR",.
"S13 General government","G0103  General services","D4K Property expenditure","Current prices",4
"S13 General government","G0103  General services","D4K Property expenditure","Ratio to GDP, %",0.0
"S13 General government","G0103  General services","D4K Property expenditure","Per capita, EUR",1
"S13 General government","G0103  General services","D4SK  Property expenditure, consolidated","Current prices",4
"S13 General government","G0103  General services","D4SK  Property expenditure, consolidated","Ratio to GDP, %",0.0
"S13 General government","G0103  General services","D4SK  Property expenditure, consolidated","Per capita, EUR",1
"S13 General government","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Current prices",49
"S13 General government","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",0.0
"S13 General government","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",9
"S13 General government","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
